,title_2011,place_2011,title_2017,place_2017,sex,guid
219,Associate Professor,"University of Alabama, Tuscaloosa",,,M,5d4632f7b5e747fea92fccd8e5655ffa
220,Assistant Professor,University of Michigan,,,M,df9e31497c0c4edab7f7cad918aa2c28
221,Assistant Professor,George Mason University,,,M,256960ace12b4e2cbf5047ad0f8c66ab
222,Full Professor,University of British Columbia,,,M,26ac5ce4366b4072904c5f0f5b87acd7
223,Full Professor,University of Oregon,,,M,6bb68272b2244ae991a884098bdf5791
224,Assistant Professor,Northeastern University,,,F,458c027d4f3b4510bf766d34a3c5b577
225,Assistant Professor,New York University,,,F,8b9318f78fd44f3cbbbc28477700849b
226,Associate Professor,Arizona State University,,,M,a571ae9ac30e4ae2a14374fd4b6e4ed4
227,Associate Professor,Kansas State University,,,M,568abc91f0ff49a085aba6ed25a9e2a7
228,Full Professor,University of Kentucky,,,M,867af8d1ff6b4bf68234543dbab0099d
229,Associate Professor,Georgia Institute of Technology,,,F,065fd1074b2d4785b291a1d52b42da11
230,Assistant Professor,University of Manitoba,,,M,0aec47c308224c0b8705b83c3aebc3c7
231,Associate Professor,University of Florida,,,F,a411aa647c074b28ac96bfb0001a7239
232,Full Professor,"University of California, Los Angeles",,,M,ede5a932afe6450688e3481771dd8fd5
233,Associate Professor,Cornell University,,,M,69fa113cc1d84c78b4797800024c9ff6
234,Associate Professor,University of Waterloo,,,M,ba425f9b99de46adb245a52c7ec0220a
235,Full Professor,Brandeis University,,,M,7ec8fd78205b4d12af68ddecad149b3d
236,Assistant Professor,University of Miami,,,M,62737f01428040a2ba2ea64f2b8abc40
237,Full Professor,Indiana University,,,M,5e818804754f4290a1013ab7f5fb63ae
238,Full Professor,Illinois Institute of Technology,,,M,090d342bb70e40ec8de3e779dc71cb77
239,Associate Professor,DePaul University,,,M,992b089e707a429288bb38de28d039e9
240,Associate Professor,Virginia Tech,,,M,f268b89a4cba4062ace26c9f0b0e5361
241,Full Professor,Dalhousie University,,,M,0caee6b0bad5434583b73bca1d5ec8d7
242,Associate Professor,Temple University,,,M,f3e660076f6e4014b82d000cfa55d75f
243,Full Professor,Rensselaer Polytechnic Institute,,,M,85273a8ef4d945e79ffcec05cbcfc451
244,Assistant Professor,Purdue University,,,M,9ea8cb1b8f2c416dbe1ceacaf6eae6b7
245,Full Professor,"University of California, San Diego",,,M,68880e20af4347129acc3919d0ee9494
246,Assistant Professor,"University of Massachusetts, Amherst",,,M,b2dfcc0fc5eb4f77b3450cb5539df61b
247,Associate Professor,University of Southern Mississippi,,,M,c7c7728dc28248548f978bcc6387b374
248,Associate Professor,University of Calgary,,,M,e75e3bcf7fbf46cfbab66035f32f1544
249,Assistant Professor,Queen's University,,,M,9121e42286e148e78aefb514318faa0c
250,Full Professor,Temple University,,,M,3572f8190da34ba680e057fa388d54ec
251,Associate Professor,Queen's University,,,M,3fcddc878d4949ae997ba5566ca6505d
252,Full Professor,Washington State University,,,F,8fe4bf6f33df47c9b8b85755aabb65cc
253,Full Professor,University of New Mexico,,,M,1cdd2e2d808c403498b4440c01ca84f4
254,Associate Professor,University of British Columbia,,,F,1b964064a553415691c6a8e6f525ea26
255,Full Professor,Pennsylvania State University,,,M,d5ef737a6da44b83917e09892f401614
256,Full Professor,Georgia Institute of Technology,,,M,3adc5efc39e644968edbd50d1785e773
257,Full Professor,Georgia Institute of Technology,,,M,808af27d72b743e5a87d146e6cca15f0
258,Full Professor,"University of Massachusetts, Amherst",,,F,e3c37a6b98824d7b8e6a82a56f1c9c04
259,Full Professor,Columbia University,,,M,0e35b9db18514599bed62973b4b55178
260,Assistant Professor,New Mexico State University,,,M,9e5ffba48f2e4df1a13100427dcd19ab
261,Associate Professor,University of Idaho,,,M,69762ca768504968a7d6114ce831bb3b
262,Full Professor,Stevens Institute of Technology,,,M,557075c1168c48e99039d45c8795aa37
263,Associate Professor,University of Arizona,,,M,fce5f3e0a0294d74867e5d4d9313c11d
264,Full Professor,California Institute of Technology,,,M,f50a33b0db4d46f5b1ac4c8cf1531d28
265,Assistant Professor,"University of Texas, Arlington",,,M,708760681cbb472a9b3f5abc291204ac
266,Associate Professor,Northwestern University,,,M,20ea36c929914f98898e5c6ca416a44e
267,Full Professor,Worcester Polytechnic Institute,,,M,e0eab649389b4f96842bdcecec7d468e
268,Full Professor,"University of Albany, SUNY",,,M,e0af5dd7deab4ffda02a905f47d7e3a0
269,Full Professor,University of Toronto,,,M,bafa39e9adb649a7b6bc0a540e7c408d
270,Full Professor,Mississippi State University,,,M,77395f484d2349d58bd35a1406f027fb
271,Full Professor,Kent State University,,,M,d8b8c54605e741b288c1997ab6f11514
272,Full Professor,Missouri University of Science & Technology,,,M,74b1b1c6442f4fb8bec7506ce5ed3292
273,Associate Professor,Naval Postgraduate School,,,M,a25242a4ffca42b98a4692adef805427
274,Full Professor,Massachusetts Institute of Technology,,,M,3d5b9e6a59364f07b110a152d85a8dba
275,Full Professor,"University of California, Santa Barbara",,,M,c259e2b085644bdc8dcba01385b8649e
276,Associate Professor,"University of Alabama, Tuscaloosa",,,M,d09292a8fdfc40afaef7fa4677c21c6c
277,Associate Professor,"University of Nebraska, Omaha",,,M,68704c5285764d0d86e2067fceb928ea
278,Assistant Professor,George Washington University,,,M,c6842794fd42484e86e2a56292f06da6
279,Associate Professor,Georgia Institute of Technology,,,M,4caf3b75e3f24f9e88856c1b0d7e3ea8
280,Full Professor,"University of Texas, Dallas",,,M,24c04252624f4f22bbbddc7dd3502fdc
281,Full Professor,Massachusetts Institute of Technology,,,F,b09c7ed069b34a4594b322efeb421b4d
282,Associate Professor,University of Houston,,,M,236be9360bf742cdb68176fcc8c048b9
283,Associate Professor,Naval Postgraduate School,,,M,ce7dd1412fb845d1b9fbfb948123b7f8
284,Full Professor,Utah State University,,,M,dad2b9ed6db94ca392c5447ff0534a3b
285,Full Professor,George Washington University,,,M,9561e656c8064985802d3c36bdeeb151
286,Associate Professor,DePaul University,,,F,d15a8d808173475894c5cfce213a3d92
287,Full Professor,University of Manitoba,,,M,2570e6c5b5a04dd395ced6d06ff15a7c
288,Assistant Professor,Georgia Institute of Technology,,,M,c897e877c6de4bf7b1587234f9868e9c
289,Full Professor,University of Houston,,,M,e61471bd44ee4c0d9fd961b05fbeb10d
